Field=#~Integer~#~50|Field=Comment~String~Comment~155|Field=Description~String~Description~161|Field=Designator~String~Designator~119|Field=Footprint~String~Footprint~106|Field=LibRef~String~LibRef~256|Field=Quantity~Integer~Quantity~36|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AL1000.PrjPcb|ReportField=ProjectFullPath~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.PrjPcb|ReportField=Title~Bill of Materials For Project [AL1000.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~500|ReportField=ReportTime~16:56:19|ReportField=ReportDate~2020-5-3|ReportField=ReportDateTime~2020-5-3 16:56:19|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-5-3|ReportField=CurrentTime~16:55:49|ReportField=Date~|ReportField=DocumentFullPathAndName~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.SchDoc|ReportField=DocumentName~AL1000.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-4-20|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A1(594x841mm):PaperIndex=135|ReportField=ProjectName~AL1000.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AL1000.PrjPcb|ReportField=DataSourceFullPath~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.PrjPcb
1|100nF|贴片电容|C1, C2, C3, C4, C5, C7, C8, C9, C14, C15, C18, C20, C22, C23, C26, C28, C31, C34, C36_1, C36_2, C36_3, C38_1, C38_2, C38_3, C39_1, C39_2, C39_3, C42_1, C42_2, C42_3, C45_1, C45_2, C45_3, C46_1, C46_2, C46_3, C47_1, C47_2, C47_3, C48_1, C48_2, C48_3, C49_1, C49_2, C49_3, C50, C51_1, C51_2, C51_3, C52_1, C52_2, C52_3, C53_1, C53_2, C53_3, C54_1, C54_2, C54_3, C55_1, C55_2, C55_3, C56_1, C56_2, C56_3, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C71, C72, C73, C74, C75, C77, C78, C80, C82, C83, C84, C85, C86, C87, C88, C90, C92, C93, C94, C95, C96, C97, C99, C100, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C116|0805_C|0805 100nF(104) 10% 50V|111
2|10uF|贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, 贴片电容, Capacitor, Capacitor, Capacitor, 贴片电容, 贴片电容, 贴片电容, 贴片电容, Capacitor, Capacitor, Capacitor, Capacitor|C6, C12, C13, C17, C19, C21, C25, C27, C33, C37_1, C37_2, C37_3, C41_1, C41_2, C41_3, C76, C79, C89, C101, C112, C113, C114, C115|0805_C|0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 1206 10uF (106) 10% 50V, 1206 10uF (106) 10% 50V, 1206 10uF (106) 10% 50V, CC, CC, CC, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, 0805 10uF (106) 10% 25V, CC, CC, CC, CC|23
3|100pF/2KV|Capacitor|C10, C81, C91, C98|1206_C|Cap|4
4|220uF/63V|Electrolytic Capacitor|C11|CAP-TH_BD10.0-P5.00-D1.0-FD|CD1|1
5|10uF/50V|贴片电容|C16, C24|1206_C|1206 10uF (106) 10% 50V|2
6|10pF|Capacitor|C29, C30|0805_C|CAP|2
7|10nF|多层瓷介电容, 贴片电容, 贴片电容|C32, C69, C70|0805_C|G-CC41-0805-CG-50V-300J, 0805 100nF(104) 10% 50V, 0805 100nF(104) 10% 50V|3
8|1nF|Capacitor|C35_1, C35_2, C35_3, C40_1, C40_2, C40_3, C43_1, C43_2, C43_3, C44_1, C44_2, C44_3|0805_C|CAP|12
9|SS54|二极管|D1|SMA(DO-214AC)_S1|SMA(DO-214AC) SS54|1
10|1.5SMC33CA||D2|SMC(DO-214AB)_S1|TVS|1
11|SMA6J5CA|[NoValue], 1V5KE6V8CA, 1V5KE6V8CA, 1V5KE6V8CA|D3, D22, D23, D24|SMA|TVS, Bidirectional DIODE TVS, Bidirectional DIODE TVS, Bidirectional DIODE TVS|4
12|STM32F107VCT||D4|LQFP-100_14x14x05P|BARRACUDA_256K|1
13|1N4148W|Default Diode|D5, D6, D26, D28|SOD-123|Diode|4
14|M7|二极管|D7_1, D7_2, D7_3|SMA(DO-214AC)_S1|SMA(DO-214AC) M7|3
