序号,名称,型号/规格,位号,封装,用量,品牌,商品编号
1,贴片电容,100nF,"C1, C2, C3, C4, C5, C7, C8, C9, C14, C15, C18, C20, C22, C23, C26, C28, C31, C34, C36_1, C36_2, C36_3, C38_1, C38_2, C38_3, C39_1, C39_2, C39_3, C42_1, C42_2, C42_3, C45_1, C45_2, C45_3, C46_1, C46_2, C46_3, C47_1, C47_2, C47_3, C48_1, C48_2, C48_3, C49_1, C49_2, C49_3, C50, C51_1, C51_2, C51_3, C52_1, C52_2, C52_3, C53_1, C53_2, C53_3, C54_1, C54_2, C54_3, C55_1, C55_2, C55_3, C56_1, C56_2, C56_3, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C71, C72, C73, C74, C75, C77, C78, C80, C82, C83, C84, C85, C86, C87, C88, C90, C92, C93, C94, C95, C96, C97, C99, C100, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C116",0805_C,111,,
2,贴片电容,10uF,"C6, C12, C13, C17, C19, C21, C25, C27, C33, C37_1, C37_2, C37_3, C41_1, C41_2, C41_3, C76, C79, C89, C101, C112, C113, C114, C115",0805_C,23,,
3,贴片电容,100pF/2KV,"C10, C81, C91, C98",1206_C,4,,
4,电解电容,220uF/63V,C11,CAP-TH_BD10.0-P5.00-D1.0-FD,1,,
5,贴片电容,10uF/50V,"C16, C24",1206_C,2,,
6,贴片电容,10pF,"C29, C30",0805_C,2,,
7,贴片电容,10nF,"C32, C69, C70",0805_C,3,,
8,贴片电容,1nF,"C35_1, C35_2, C35_3, C40_1, C40_2, C40_3, C43_1, C43_2, C43_3, C44_1, C44_2, C44_3",0805_C,12,,
9,二极管,SS54,D1,SMA(DO-214AC)_S1,1,,
10,TVS,1.5SMC33CA,D2,SMC(DO-214AB)_S1,1,,
11,TVS,SMA6J5CA,"D3, D22, D23, D24",SMA,4,,
12,芯片,STM32F107VCT,D4,LQFP-100_14x14x05P,1,,
13,二极管,1N4148W,"D5, D6, D26, D28",SOD-123,4,,
14,二极管,M7,"D7_1, D7_2, D7_3",SMA(DO-214AC)_S1,3,,
15,TVS,SMAJ18A,"D8_1, D8_2, D8_3, D9_1, D9_2, D9_3, D10_1, D10_2, D10_3, D15, D16, D17, D18, D19, D20, D21",SMA,16,,
16,发光二极管,红灯 0805,"D11_1, D11_2, D11_3, D13_1, D13_2, D13_3, D25, D27",0805_LED_S1,8,,
17,Zener Diode,SMF12,"D12_1, D12_2, D12_3, D14_1, D14_2, D14_3",SOD-123,6,,
18,磁珠,GZ2012D101TF,"L1, L2, L3, L4, L5_1, L5_2, L5_3, L6_1, L6_2, L6_3, L8_1, L8_2, L8_3, L9_1, L9_2, L9_3, L11, L12, L13, L14, L15, L16, L17",0805_L,23,,
19,继电器,NT90RN1C,"LS1, LS2",NT90HCE12CE,2,,
20,连接器,Header 9,"M1, M2, M3, M4, M5, M6",LK,6,,
21,连接器,KF2EDGR-3.81-4P,P1,MC1.5/4-ST-3.81,1,,
22,连接器,XH-6A,P2,TJC3-6A,1,,
23,连接器,ESP-07S,P3,ESP-07S,1,,
24,连接器,KF2EDGR-3.81-8P,"P4_1, P4_2, P4_3, P8",MC1.5/8-ST-3.81,4,,
25,连接器,DB2ERC-5.08-4P,P5,MSTBV 2.5/4-G-5.08,1,,
26,连接器,KF2EDGR-3.81-6P,"P6, P7",MC1.5/6-ST-3.81,2,,
27,连接器,Header 15X2,P10,HDR2X15,1,,
28,网络变压器,HY911105AE,P11,HANRUN-A8,1,,
29,连接器,XH-2A,P12,TJC3-2A,1,,
30,连接器,DB9/F,P13,DB9P/F,1,,
